vehicle_id,bin_id,area,timestamp,route_sequence,distance_km,fuel_consumption_liters,route_efficiency_score
VH004,KUK_001,Kukatpally,2025-12-05,5,6.87,1.72,75.64
VH001,KUK_001,Kukatpally,2024-04-18,1,14.36,3.59,52.02
VH002,KUK_001,Kukatpally,2024-01-11,2,11.52,2.88,60.98
VH002,KUK_001,Kukatpally,2025-09-24,1,9.78,2.44,66.46
VH001,KUK_001,Kukatpally,2026-12-15,1,4.03,1.01,84.6
VH003,KUK_001,Kukatpally,2025-07-21,4,4.03,1.01,84.6
VH004,KUK_001,Kukatpally,2024-09-02,1,2.76,0.69,88.61
VH002,KUK_001,Kukatpally,2024-11-27,5,13.26,3.32,55.49
VH002,KUK_001,Kukatpally,2026-05-20,4,9.81,2.45,66.36
VH004,KUK_001,Kukatpally,2024-07-07,4,11.2,2.8,61.98
VH003,KUK_001,Kukatpally,2025-05-31,5,2.27,0.57,90.15
VH002,KUK_001,Kukatpally,2025-06-12,4,14.61,3.65,51.23
VH001,KUK_001,Kukatpally,2026-11-03,2,12.82,3.2,56.87
VH003,KUK_001,Kukatpally,2024-04-17,4,4.76,1.19,82.29
VH001,KUK_001,Kukatpally,2024-12-07,3,4.36,1.09,83.55
VH003,KUK_001,Kukatpally,2026-04-10,5,4.38,1.1,83.49
VH004,KUK_001,Kukatpally,2026-09-30,5,5.96,1.49,78.52
VH001,KUK_001,Kukatpally,2025-05-06,2,8.82,2.2,69.49
VH004,KUK_001,Kukatpally,2026-07-10,1,7.62,1.9,73.28
VH002,KUK_001,Kukatpally,2024-04-11,2,5.79,1.45,79.05
VH001,KUK_001,Kukatpally,2024-08-20,5,9.95,2.49,65.92
VH001,KUK_001,Kukatpally,2026-06-23,1,3.81,0.95,85.29
VH003,KUK_001,Kukatpally,2025-04-19,5,5.8,1.45,79.02
VH001,KUK_001,Kukatpally,2026-06-24,4,6.76,1.69,75.98
VH004,KUK_001,Kukatpally,2024-04-20,4,7.93,1.98,72.3
VH001,KUK_001,Kukatpally,2025-04-29,5,12.21,3.05,58.8
VH002,KUK_001,Kukatpally,2026-09-28,3,4.6,1.15,82.8
VH004,KUK_001,Kukatpally,2025-10-20,1,8.69,2.17,69.91
VH004,KUK_001,Kukatpally,2024-10-27,4,9.7,2.42,66.71
VH003,KUK_001,Kukatpally,2025-03-04,5,2.6,0.65,89.1
VH003,KUK_001,Kukatpally,2025-08-04,5,9.9,2.48,66.09
VH001,KUK_001,Kukatpally,2024-11-12,1,4.22,1.06,84.0
VH004,KUK_001,Kukatpally,2026-06-16,1,2.85,0.71,88.32
VH001,KUK_001,Kukatpally,2025-12-16,5,14.34,3.58,52.09
VH001,KUK_001,Kukatpally,2026-09-30,3,14.55,3.64,51.42
VH003,KUK_001,Kukatpally,2026-10-26,4,12.51,3.13,57.85
VH003,KUK_001,Kukatpally,2026-04-18,1,5.96,1.49,78.51
VH001,KUK_001,Kukatpally,2024-12-04,1,3.27,0.82,86.99
VH001,KUK_001,Kukatpally,2024-09-17,3,10.9,2.72,62.94
VH004,KUK_001,Kukatpally,2024-11-05,3,7.72,1.93,72.96
