vehicle_id,area,latitude,longitude,timestamp
VH003,Kukatpally,17.500366,78.398518,2025-12-05
VH004,Kukatpally,17.500852,78.394298,2024-04-18
VH001,Kukatpally,17.495492,78.397008,2024-01-11
VH001,Kukatpally,17.500093,78.394556,2025-09-24
VH001,Kukatpally,17.497411,78.396179,2026-12-15
VH003,Kukatpally,17.497047,78.394922,2025-07-21
VH003,Kukatpally,17.498605,78.39313,2024-09-02
VH004,Kukatpally,17.500083,78.401146,2024-11-27
VH004,Kukatpally,17.499823,78.400864,2026-05-20
VH002,Kukatpally,17.496204,78.40168,2024-07-07
VH004,Kukatpally,17.501281,78.398986,2025-05-31
VH004,Kukatpally,17.501879,78.397425,2025-06-12
VH001,Kukatpally,17.49648,78.398404,2026-11-03
VH003,Kukatpally,17.49768,78.400496,2024-04-17
VH004,Kukatpally,17.496366,78.401729,2024-12-07
VH002,Kukatpally,17.494164,78.398127,2026-04-10
VH002,Kukatpally,17.50345,78.39715,2026-09-30
VH001,Kukatpally,17.49617,78.402256,2025-05-06
VH001,Kukatpally,17.499153,78.400607,2026-07-10
VH002,Kukatpally,17.496448,78.398249,2024-04-11
VH001,Kukatpally,17.502741,78.399561,2024-08-20
VH002,Kukatpally,17.501154,78.396093,2026-06-23
VH003,Kukatpally,17.494765,78.400085,2025-04-19
VH003,Kukatpally,17.503255,78.402185,2026-06-24
VH003,Kukatpally,17.496768,78.397981,2024-04-20
VH004,Kukatpally,17.49611,78.39975,2025-04-29
VH004,Kukatpally,17.496796,78.401577,2026-09-28
VH001,Kukatpally,17.502904,78.399545,2025-10-20
VH003,Kukatpally,17.494574,78.402703,2024-10-27
VH004,Kukatpally,17.503212,78.396087,2025-03-04
VH001,Kukatpally,17.499211,78.401984,2025-08-04
VH001,Kukatpally,17.501291,78.397316,2024-11-12
VH003,Kukatpally,17.498351,78.399899,2026-06-16
VH002,Kukatpally,17.498642,78.398757,2025-12-16
VH001,Kukatpally,17.497783,78.398424,2026-09-30
VH004,Kukatpally,17.503543,78.393552,2026-10-26
VH004,Kukatpally,17.498173,78.400477,2026-04-18
VH003,Kukatpally,17.502605,78.396428,2024-12-04
VH004,Kukatpally,17.495635,78.39761,2024-09-17
VH004,Kukatpally,17.494324,78.398567,2024-11-05
VH003,Kukatpally,17.497016,78.399696,2025-08-02
VH001,Kukatpally,17.495377,78.395087,2024-04-11
VH002,Kukatpally,17.496041,78.397598,2024-09-26
VH001,Kukatpally,17.501281,78.393986,2024-03-05
VH003,Kukatpally,17.498894,78.396887,2025-07-15
VH004,Kukatpally,17.50002,78.399442,2024-10-04
VH004,Kukatpally,17.494963,78.402609,2025-05-04
VH004,Kukatpally,17.497319,78.400412,2024-12-01
VH003,Kukatpally,17.503815,78.402102,2025-09-23
VH004,Kukatpally,17.500265,78.402242,2025-05-25
VH002,Kukatpally,17.494403,78.401934,2025-08-29
VH003,Kukatpally,17.500975,78.398248,2024-11-07
VH003,Kukatpally,17.500883,78.398773,2024-02-20
VH001,Kukatpally,17.501488,78.399845,2024-07-03
VH002,Kukatpally,17.4992,78.397833,2024-01-01
VH002,Kukatpally,17.49837,78.402326,2024-07-08
VH002,Kukatpally,17.50394,78.396698,2026-08-30
VH003,Kukatpally,17.496131,78.393274,2024-07-06
VH001,Kukatpally,17.5009,78.394018,2026-02-18
VH004,Kukatpally,17.50103,78.40187,2025-01-11
VH004,Kukatpally,17.496258,78.39722,2026-12-11
VH002,Kukatpally,17.503809,78.395747,2026-08-13
VH001,Kukatpally,17.502939,78.396454,2024-07-03
VH003,Kukatpally,17.49575,78.399474,2026-03-31
VH002,Kukatpally,17.494466,78.395331,2024-08-23
VH001,Kukatpally,17.499654,78.398404,2024-03-14
VH002,Kukatpally,17.501194,78.401939,2026-12-13
VH003,Kukatpally,17.496351,78.393573,2025-07-01
VH003,Kukatpally,17.502866,78.397282,2026-12-26
VH002,Kukatpally,17.499767,78.399643,2026-02-10
VH001,Kukatpally,17.500538,78.394264,2026-04-21
VH002,Kukatpally,17.500555,78.393491,2025-07-23
VH003,Kukatpally,17.496921,78.398782,2025-11-09
VH004,Kukatpally,17.502371,78.395414,2026-08-02
VH002,Kukatpally,17.501842,78.397076,2026-01-20
VH001,Kukatpally,17.498437,78.395192,2024-03-25
VH003,Kukatpally,17.494155,78.39886,2024-06-16
VH001,Kukatpally,17.496999,78.397867,2025-11-24
VH002,Kukatpally,17.502528,78.397444,2024-06-14
VH002,Kukatpally,17.501433,78.402812,2024-11-01
VH001,Kukatpally,17.501929,78.399556,2026-12-28
VH003,Kukatpally,17.497923,78.398973,2025-07-03
VH004,Kukatpally,17.499642,78.397681,2025-06-20
VH004,Kukatpally,17.497945,78.397038,2024-12-07
VH002,Kukatpally,17.49418,78.394743,2026-05-07
VH002,Kukatpally,17.496693,78.396774,2024-05-12
VH004,Kukatpally,17.499675,78.395601,2024-01-20
VH001,Kukatpally,17.501345,78.401573,2024-07-11
VH002,Kukatpally,17.502867,78.400684,2024-09-22
VH003,Kukatpally,17.501661,78.399383,2025-06-20
VH001,Kukatpally,17.497469,78.395224,2024-09-12
VH002,Kukatpally,17.497442,78.394958,2026-10-27
VH004,Kukatpally,17.496154,78.402137,2024-12-10
VH001,Kukatpally,17.500183,78.400599,2025-10-30
VH003,Kukatpally,17.497329,78.393767,2026-11-18
VH004,Kukatpally,17.501807,78.395112,2025-04-24
VH003,Kukatpally,17.497672,78.396461,2026-07-10
VH002,Kukatpally,17.497896,78.393313,2025-10-25
VH001,Kukatpally,17.498845,78.395188,2024-08-12
VH004,Kukatpally,17.494207,78.40013,2026-03-07
VH003,Kukatpally,17.507819,78.399468,2024-01-17
VH003,Kukatpally,17.502219,78.399063,2026-11-24
VH002,Kukatpally,17.500834,78.404442,2025-05-02
VH004,Kukatpally,17.499531,78.407353,2024-11-20
VH004,Kukatpally,17.498076,78.404457,2025-04-12
VH003,Kukatpally,17.49996,78.399287,2024-06-09
VH002,Kukatpally,17.500732,78.407049,2024-08-08
VH003,Kukatpally,17.498973,78.404197,2025-01-23
VH003,Kukatpally,17.50144,78.400196,2025-08-15
VH003,Kukatpally,17.501585,78.402056,2025-01-25
VH001,Kukatpally,17.507908,78.405019,2024-08-11
VH004,Kukatpally,17.502459,78.399757,2024-01-07
VH002,Kukatpally,17.501452,78.401572,2025-11-17
VH001,Kukatpally,17.503896,78.406743,2025-06-08
VH002,Kukatpally,17.50487,78.399467,2026-05-04
VH004,Kukatpally,17.498324,78.406541,2026-08-27
VH002,Kukatpally,17.501392,78.403131,2024-06-15
VH003,Kukatpally,17.499001,78.404869,2024-02-07
VH001,Kukatpally,17.500148,78.401215,2024-07-02
VH003,Kukatpally,17.504008,78.403116,2025-03-10
VH003,Kukatpally,17.506246,78.40217,2024-06-11
VH004,Kukatpally,17.505812,78.405176,2026-11-12
VH001,Kukatpally,17.50353,78.400681,2025-06-01
VH002,Kukatpally,17.501271,78.401421,2025-08-03
VH004,Kukatpally,17.498052,78.406712,2025-11-21
VH002,Kukatpally,17.499602,78.405585,2025-02-06
VH001,Kukatpally,17.500004,78.406318,2025-05-04
VH004,Kukatpally,17.5017,78.399962,2025-08-17
VH001,Kukatpally,17.501645,78.39849,2024-06-14
VH004,Kukatpally,17.50083,78.400912,2024-05-03
VH002,Kukatpally,17.507789,78.407936,2026-10-06
VH003,Kukatpally,17.50011,78.406971,2026-12-19
VH002,Kukatpally,17.505512,78.401947,2025-06-12
VH003,Kukatpally,17.499735,78.399605,2024-02-28
VH004,Kukatpally,17.504274,78.399959,2025-04-06
VH004,Kukatpally,17.500683,78.398824,2024-09-13
VH002,Kukatpally,17.498934,78.405073,2024-08-03
VH001,Kukatpally,17.507487,78.405731,2025-01-30
VH003,Kukatpally,17.505196,78.406381,2026-02-16
