bin_id,area,latitude,longitude,fill_level,waste_type,timestamp,alert_flag
KUK_001,Kukatpally,17.498996,78.398109,67,E-Waste,2025-12-05,Medium
KUK_001,Kukatpally,17.498996,78.398109,87,E-Waste,2024-04-18,High
KUK_001,Kukatpally,17.498996,78.398109,72,Plastic,2024-01-11,Medium
KUK_001,Kukatpally,17.498996,78.398109,39,E-Waste,2025-09-24,Low
KUK_001,Kukatpally,17.498996,78.398109,68,E-Waste,2026-12-15,Medium
KUK_001,Kukatpally,17.498996,78.398109,21,Organic,2025-07-21,Low
KUK_001,Kukatpally,17.498996,78.398109,75,Organic,2024-09-02,Medium
KUK_001,Kukatpally,17.498996,78.398109,68,Mixed,2024-11-27,Medium
KUK_001,Kukatpally,17.498996,78.398109,86,Mixed,2026-05-20,High
KUK_001,Kukatpally,17.498996,78.398109,62,Plastic,2024-07-07,Medium
KUK_001,Kukatpally,17.498996,78.398109,10,E-Waste,2025-05-31,Low
KUK_001,Kukatpally,17.498996,78.398109,42,Mixed,2025-06-12,Low
KUK_001,Kukatpally,17.498996,78.398109,58,E-Waste,2026-11-03,Low
KUK_001,Kukatpally,17.498996,78.398109,83,Mixed,2024-04-17,High
KUK_001,Kukatpally,17.498996,78.398109,98,Plastic,2024-12-07,High
KUK_001,Kukatpally,17.498996,78.398109,87,Mixed,2026-04-10,High
KUK_001,Kukatpally,17.498996,78.398109,37,Mixed,2026-09-30,Low
KUK_001,Kukatpally,17.498996,78.398109,10,Mixed,2025-05-06,Low
KUK_001,Kukatpally,17.498996,78.398109,49,Organic,2026-07-10,Low
KUK_001,Kukatpally,17.498996,78.398109,66,E-Waste,2024-04-11,Medium
KUK_001,Kukatpally,17.498996,78.398109,31,E-Waste,2024-08-20,Low
KUK_001,Kukatpally,17.498996,78.398109,32,Plastic,2026-06-23,Low
KUK_001,Kukatpally,17.498996,78.398109,70,Mixed,2025-04-19,Medium
KUK_001,Kukatpally,17.498996,78.398109,69,Plastic,2026-06-24,Medium
KUK_001,Kukatpally,17.498996,78.398109,31,E-Waste,2024-04-20,Low
KUK_001,Kukatpally,17.498996,78.398109,91,E-Waste,2025-04-29,High
KUK_001,Kukatpally,17.498996,78.398109,25,Plastic,2026-09-28,Low
KUK_001,Kukatpally,17.498996,78.398109,81,Organic,2025-10-20,High
KUK_001,Kukatpally,17.498996,78.398109,54,Plastic,2024-10-27,Low
KUK_001,Kukatpally,17.498996,78.398109,21,Organic,2025-03-04,Low
KUK_001,Kukatpally,17.498996,78.398109,96,Plastic,2025-08-04,High
KUK_001,Kukatpally,17.498996,78.398109,46,E-Waste,2024-11-12,Low
KUK_001,Kukatpally,17.498996,78.398109,29,E-Waste,2026-06-16,Low
KUK_001,Kukatpally,17.498996,78.398109,100,Mixed,2025-12-16,High
KUK_001,Kukatpally,17.498996,78.398109,23,Organic,2026-09-30,Low
KUK_001,Kukatpally,17.498996,78.398109,84,E-Waste,2026-10-26,High
KUK_001,Kukatpally,17.498996,78.398109,60,Organic,2026-04-18,Medium
KUK_001,Kukatpally,17.498996,78.398109,84,Plastic,2024-12-04,High
KUK_001,Kukatpally,17.498996,78.398109,69,Organic,2024-09-17,Medium
KUK_001,Kukatpally,17.498996,78.398109,30,Organic,2024-11-05,Low
KUK_001,Kukatpally,17.498996,78.398109,78,E-Waste,2025-08-02,Medium
KUK_001,Kukatpally,17.498996,78.398109,98,E-Waste,2024-04-11,High
KUK_001,Kukatpally,17.498996,78.398109,94,Organic,2024-09-26,High
KUK_001,Kukatpally,17.498996,78.398109,45,E-Waste,2024-03-05,Low
KUK_001,Kukatpally,17.498996,78.398109,95,Mixed,2025-07-15,High
KUK_001,Kukatpally,17.498996,78.398109,28,Mixed,2024-10-04,Low
KUK_001,Kukatpally,17.498996,78.398109,53,Mixed,2025-05-04,Low
KUK_001,Kukatpally,17.498996,78.398109,51,Mixed,2024-12-01,Low
KUK_001,Kukatpally,17.498996,78.398109,26,Plastic,2025-09-23,Low
KUK_001,Kukatpally,17.498996,78.398109,73,E-Waste,2025-05-25,Medium
KUK_001,Kukatpally,17.498996,78.398109,54,Plastic,2025-08-29,Low
KUK_001,Kukatpally,17.498996,78.398109,91,Mixed,2024-11-07,High
KUK_001,Kukatpally,17.498996,78.398109,45,Mixed,2024-02-20,Low
KUK_001,Kukatpally,17.498996,78.398109,61,Organic,2024-07-03,Medium
KUK_001,Kukatpally,17.498996,78.398109,48,Plastic,2024-01-01,Low
KUK_001,Kukatpally,17.498996,78.398109,94,Plastic,2024-07-08,High
KUK_001,Kukatpally,17.498996,78.398109,97,Plastic,2026-08-30,High
KUK_001,Kukatpally,17.498996,78.398109,12,Plastic,2024-07-06,Low
KUK_001,Kukatpally,17.498996,78.398109,82,E-Waste,2026-02-18,High
KUK_001,Kukatpally,17.498996,78.398109,38,Organic,2025-01-11,Low
KUK_001,Kukatpally,17.498996,78.398109,60,Plastic,2026-12-11,Medium
KUK_001,Kukatpally,17.498996,78.398109,79,Plastic,2026-08-13,Medium
KUK_001,Kukatpally,17.498996,78.398109,95,Mixed,2024-07-03,High
KUK_001,Kukatpally,17.498996,78.398109,49,E-Waste,2026-03-31,Low
KUK_001,Kukatpally,17.498996,78.398109,92,Organic,2024-08-23,High
KUK_001,Kukatpally,17.498996,78.398109,93,Plastic,2024-03-14,High
KUK_001,Kukatpally,17.498996,78.398109,91,Mixed,2026-12-13,High
KUK_001,Kukatpally,17.498996,78.398109,15,E-Waste,2025-07-01,Low
KUK_001,Kukatpally,17.498996,78.398109,47,Organic,2026-12-26,Low
KUK_001,Kukatpally,17.498996,78.398109,33,Plastic,2026-02-10,Low
KUK_001,Kukatpally,17.498996,78.398109,34,Plastic,2026-04-21,Low
KUK_001,Kukatpally,17.498996,78.398109,87,Mixed,2025-07-23,High
KUK_001,Kukatpally,17.498996,78.398109,60,Plastic,2025-11-09,Medium
KUK_001,Kukatpally,17.498996,78.398109,14,Mixed,2026-08-02,Low
KUK_001,Kukatpally,17.498996,78.398109,44,Organic,2026-01-20,Low
KUK_001,Kukatpally,17.498996,78.398109,100,Organic,2024-03-25,High
KUK_001,Kukatpally,17.498996,78.398109,38,Organic,2024-06-16,Low
KUK_001,Kukatpally,17.498996,78.398109,26,E-Waste,2025-11-24,Low
KUK_001,Kukatpally,17.498996,78.398109,35,Plastic,2024-06-14,Low
KUK_001,Kukatpally,17.498996,78.398109,87,Plastic,2024-11-01,High
KUK_001,Kukatpally,17.498996,78.398109,38,E-Waste,2026-12-28,Low
KUK_001,Kukatpally,17.498996,78.398109,33,Plastic,2025-07-03,Low
KUK_001,Kukatpally,17.498996,78.398109,87,Mixed,2025-06-20,High
KUK_001,Kukatpally,17.498996,78.398109,84,E-Waste,2024-12-07,High
KUK_001,Kukatpally,17.498996,78.398109,86,E-Waste,2026-05-07,High
KUK_001,Kukatpally,17.498996,78.398109,38,Organic,2024-05-12,Low
KUK_001,Kukatpally,17.498996,78.398109,83,Mixed,2024-01-20,High
KUK_001,Kukatpally,17.498996,78.398109,11,E-Waste,2024-07-11,Low
KUK_001,Kukatpally,17.498996,78.398109,63,Plastic,2024-09-22,Medium
KUK_001,Kukatpally,17.498996,78.398109,18,E-Waste,2025-06-20,Low
KUK_001,Kukatpally,17.498996,78.398109,35,Mixed,2024-09-12,Low
KUK_001,Kukatpally,17.498996,78.398109,54,E-Waste,2026-10-27,Low
KUK_001,Kukatpally,17.498996,78.398109,79,E-Waste,2024-12-10,Medium
KUK_001,Kukatpally,17.498996,78.398109,97,E-Waste,2025-10-30,High
KUK_001,Kukatpally,17.498996,78.398109,75,Plastic,2026-11-18,Medium
KUK_001,Kukatpally,17.498996,78.398109,93,Plastic,2025-04-24,High
KUK_001,Kukatpally,17.498996,78.398109,19,Plastic,2026-07-10,Low
KUK_001,Kukatpally,17.498996,78.398109,41,Organic,2025-10-25,Low
KUK_001,Kukatpally,17.498996,78.398109,55,Mixed,2024-08-12,Low
KUK_001,Kukatpally,17.498996,78.398109,94,Organic,2026-03-07,High
KUK_002,Kukatpally,17.50298,78.403438,11,Plastic,2024-01-17,Low
KUK_002,Kukatpally,17.50298,78.403438,85,Organic,2026-11-24,High
KUK_002,Kukatpally,17.50298,78.403438,55,Organic,2025-05-02,Low
KUK_002,Kukatpally,17.50298,78.403438,24,E-Waste,2024-11-20,Low
KUK_002,Kukatpally,17.50298,78.403438,76,Plastic,2025-04-12,Medium
KUK_002,Kukatpally,17.50298,78.403438,13,Organic,2024-06-09,Low
KUK_002,Kukatpally,17.50298,78.403438,100,Plastic,2024-08-08,High
KUK_002,Kukatpally,17.50298,78.403438,57,E-Waste,2025-01-23,Low
KUK_002,Kukatpally,17.50298,78.403438,99,Plastic,2025-08-15,High
KUK_002,Kukatpally,17.50298,78.403438,14,Organic,2025-01-25,Low
KUK_002,Kukatpally,17.50298,78.403438,40,Plastic,2024-08-11,Low
KUK_002,Kukatpally,17.50298,78.403438,55,Plastic,2024-01-07,Low
KUK_002,Kukatpally,17.50298,78.403438,56,E-Waste,2025-11-17,Low
KUK_002,Kukatpally,17.50298,78.403438,11,Mixed,2025-06-08,Low
KUK_002,Kukatpally,17.50298,78.403438,65,Mixed,2026-05-04,Medium
KUK_002,Kukatpally,17.50298,78.403438,23,Mixed,2026-08-27,Low
KUK_002,Kukatpally,17.50298,78.403438,52,Mixed,2024-06-15,Low
KUK_002,Kukatpally,17.50298,78.403438,65,Mixed,2024-02-07,Medium
KUK_002,Kukatpally,17.50298,78.403438,34,Plastic,2024-07-02,Low
KUK_002,Kukatpally,17.50298,78.403438,28,Organic,2025-03-10,Low
KUK_002,Kukatpally,17.50298,78.403438,22,Mixed,2024-06-11,Low
KUK_002,Kukatpally,17.50298,78.403438,36,E-Waste,2026-11-12,Low
KUK_002,Kukatpally,17.50298,78.403438,84,Organic,2025-06-01,High
KUK_002,Kukatpally,17.50298,78.403438,27,Organic,2025-08-03,Low
KUK_002,Kukatpally,17.50298,78.403438,70,Plastic,2025-11-21,Medium
KUK_002,Kukatpally,17.50298,78.403438,94,Organic,2025-02-06,High
KUK_002,Kukatpally,17.50298,78.403438,41,E-Waste,2025-05-04,Low
